technology,dst_region,region,agent,sector,type,year,capacity
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2030,1177.22350000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2030,534.31270000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2030,13.53840000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2030,9.38900000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2030,1.14610000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2030,1844.50070000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2035,2.67130000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,12.43650000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,451.68970000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2035,14.81100000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2035,8.53340000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2035,1177.07280000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2035,534.31270000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2035,6.00970000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2035,13.26760000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2035,9.20120000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2035,1087.26520000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2035,1.12310000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2035,1844.48620000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2040,2.61790000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,12.18780000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,451.68970000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2040,14.51480000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2040,8.36270000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2040,1176.92510000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2040,534.31270000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2040,6.00970000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2040,185.45650000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2040,13.00220000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,9.01720000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,1087.26520000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,1879.07430000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2040,1.10070000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2040,1844.47190000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2045,2.56550000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,11.94400000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,451.68970000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,14.22450000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2045,8.19550000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,1176.78030000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2045,534.31270000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2045,6.00970000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2045,185.45650000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2045,12.74220000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,8.83690000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,1087.26520000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,1879.07430000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,1609.73920000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2045,1.07870000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,1844.45800000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2050,2.51420000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,11.70520000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,451.68970000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,13.94000000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2050,8.03160000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,1176.63850000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,1.64380000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,534.31270000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,6.00970000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,185.45650000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2050,12.48740000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,8.66010000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,1087.26520000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,1879.07430000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,1609.73920000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,1883.39240000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,1.05710000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,0.67050000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,763.84080000000
